Date,Open,High,Low,Close,Adj Close
01/03/2019,43.57,43.787498,43.2225,43.7425,42.646355
04/03/2019,43.922501,44.4375,43.4925,43.962502,42.860844
05/03/2019,43.985001,44,43.634998,43.8825,42.782848
06/03/2019,43.6675,43.872501,43.485001,43.630001,42.536678
07/03/2019,43.467499,43.610001,43.005001,43.125,42.044327
08/03/2019,42.580002,43.267502,42.375,43.227501,42.14426
11/03/2019,43.872501,44.779999,43.837502,44.724998,43.604233
12/03/2019,45,45.6675,44.842499,45.227501,44.094139
13/03/2019,45.5625,45.825001,45.23,45.427502,44.289131
14/03/2019,45.974998,46.025002,45.639999,45.932499,44.781471
15/03/2019,46.212502,46.8325,45.935001,46.529999,45.363998
18/03/2019,46.450001,47.0975,46.447498,47.005001,45.827099
19/03/2019,47.087502,47.247501,46.48,46.6325,45.463932
20/03/2019,46.557499,47.372501,46.182499,47.040001,45.861217
21/03/2019,47.505001,49.0825,47.452499,48.772499,47.550312
22/03/2019,48.834999,49.422501,47.695,47.762501,46.565609
25/03/2019,47.877499,47.994999,46.650002,47.185001,46.002586
26/03/2019,47.915001,48.220001,46.145,46.697498,45.527294
27/03/2019,47.1875,47.439999,46.637501,47.1175,45.936779
28/03/2019,47.237499,47.389999,46.8825,47.18,45.997715
29/03/2019,47.4575,47.52,47.134998,47.487499,46.297504
01/04/2019,47.91,47.919998,47.095001,47.810001,46.611923
02/04/2019,47.772499,48.615002,47.762501,48.505001,47.289509
03/04/2019,48.3125,49.125,48.287498,48.837502,47.613678
04/04/2019,48.697498,49.092499,48.285,48.922501,47.696548
05/04/2019,49.112499,49.275002,48.982498,49.25,48.015835
08/04/2019,49.105,50.057499,49.084999,50.025002,48.77142
09/04/2019,50.080002,50.712502,49.807499,49.875,48.625175
10/04/2019,49.669998,50.185001,49.544998,50.154999,48.898163
11/04/2019,50.212502,50.25,49.610001,49.737499,48.491127
12/04/2019,49.799999,50.035,49.052502,49.717499,48.471619
15/04/2019,49.645,49.962502,49.502499,49.807499,48.559368
16/04/2019,49.865002,50.342499,49.639999,49.8125,48.564243
17/04/2019,49.884998,50.845001,49.6525,50.782501,49.509933
18/04/2019,50.779999,51.037498,50.630001,50.965,49.687859
22/04/2019,50.7075,51.235001,50.584999,51.1325,49.851173
23/04/2019,51.107498,51.9375,50.974998,51.869999,50.570187
24/04/2019,51.84,52.119999,51.762501,51.790001,50.492188
25/04/2019,51.7075,51.939999,51.279999,51.32,50.033966
26/04/2019,51.224998,51.25,50.529999,51.075001,49.795109
29/04/2019,51.099998,51.4925,50.965,51.1525,49.870667
